2309.646555155412, -1025.1498317428068
2294.745081310026, 133.5297444814123
2207.711835517408, 1310.0622942015534
1959.641889279722, 1562.6674716095736
1629.3618796051705, 1778.7748362658506
1309.4481126056726, 1976.8132640371425
989.462357809819, 2192.956622591597
669.4766030139649, 2409.099981146051
349.49084821811175, 2625.243339700505
19.282826339915573, 2823.2457735736198
-300.70292845593804, 3039.3891321280744
-681.5183711713635, 3019.9524271123532
-1051.895583415383, 2964.341854428484
-1380.5198737737792, 2764.035811072025
-1719.4384190108724, 2563.6937738173883
-2017.107956936824, 2345.390781372298
-2211.3310315013264, 2000.713212426844
-2323.1280792399, 1638.2186638836447
-2318.5208602732105, 479.5030937612478
-2265.537842156282, 99.4795168057226
-2202.188581364302, -298.61299703478744
-2149.205563247373, -678.6365739903131
-2085.9282902517475, -1058.6241570476604
-1950.6632209015993, -1420.2548520346054
-1774.2931198330186, -1763.6366406456782
-1597.8510309680833, -2125.1233600399146
-1421.4809298995024, -2468.5051486509874
-1255.4050837096183, -2811.9229311602376
-1007.4071252682875, -3046.4231777850946
-626.5196947565073, -3045.0914035525366
-245.6322642447276, -3043.7596293199776
145.54942114574897, -3042.3918611892414
495.0501724469568, -2914.4335531690776
823.7464506017077, -2732.2324405957806
1162.6649958388007, -2531.8904033411445
1491.2892861971968, -2331.584359984685
1706.244846111802, -2023.044664809201
1921.1284182300524, -1696.4000388505538
2115.423480590909, -1369.827400688262
2309.646555155412, -1025.1498317428068
